name,cid
123336,123336
140571,140571
146418,146418
148537,148537
164736,164736
517695,517695
6999961,6999961
11822226,11822226
13014036,13014036
123083,123083
136338,136338
6994293,6994293
7855622,7855622
9543329,9543329
10986198,10986198
13586013,13586013
36306,36306
92648,92648
638076,638076
13620130,13620130
521270,521270
638145,638145
6912034,6912034
12776646,12776646
86041,86041
300673,300673
525332,525332
14064,14064
98429,98429
101983,101983
112914,112914
520839,520839
3083566,3083566
6999953,6999953
11848710,11848710
141910,141910
450656,450656
566284,566284
30116,30116
70678,70678
123120,123120
136196,136196
141167,141167
2724149,2724149
6428769,6428769
58223256,58223256
61169,61169
138582,138582
141085,141085
15244547,15244547
35945,35945
75856,75856
120182,120182
444234,444234
10129958,10129958
11007810,11007810
13001281,13001281
225161,225161
3013878,3013878
16213367,16213367
103411,103411
150638,150638
283992,283992
521190,521190
12642,12642
13834,13834
39655,39655
67711,67711
95367,95367
142727,142727
520245,520245
525357,525357
5222844,5222844
5463203,5463203
10898643,10898643
519946,519946
3843063,3843063
51758,51758
140443,140443
331837,331837
519451,519451
5462744,5462744
13459596,13459596
16212250,16212250
37987,37987
51438,51438
88062,88062
92758,92758
136266,136266
138904,138904
303710,303710
446628,446628
4133797,4133797
5289426,5289426
522007,522007
20567,20567
136260,136260
329397,329397
534251,534251
10931411,10931411
137539,137539
52161,52161
5352665,5352665
6110173,6110173
7567603,7567603
10975459,10975459
13417437,13417437
10043,10043
139920,139920
555733,555733
12447898,12447898
136860,136860
289818,289818
525712,525712
5463237,5463237
12203065,12203065
12845800,12845800
21572609,21572609
138264,138264
137181,137181
555261,555261
9571063,9571063
10942375,10942375
30315,30315
67167,67167
141167,141167
12213346,12213346
11602,11602
447638,447638
7311729,7311729
17440,17440
41044,41044
10176114,10176114
77247,77247
101908,101908
136329,136329
137199,137199
143885,143885
144799,144799
3036308,3036308
6371571,6371571
51758,51758
140443,140443
331837,331837
519451,519451
5462744,5462744
13459596,13459596
16212250,16212250
37987,37987
51438,51438
88062,88062
92758,92758
136266,136266
138904,138904
303710,303710
446628,446628
4133797,4133797
5289426,5289426
11263466,11263466
522007,522007
20567,20567
136260,136260
329397,329397
534251,534251
10931411,10931411
137539,137539
52161,52161
5352665,5352665
6110173,6110173
7567603,7567603
10975459,10975459
13417437,13417437
10043,10043
139920,139920
555733,555733
12447898,12447898
136860,136860
289818,289818
525712,525712
5463237,5463237
12203065,12203065
12845800,12845800
21572609,21572609
138264,138264
137181,137181
555261,555261
9571063,9571063
10942375,10942375
30315,30315
67167,67167
141167,141167
12213346,12213346
11602,11602
447638,447638
7311729,7311729
17440,17440
41044,41044
10176114,10176114
77247,77247
101908,101908
136329,136329
137199,137199
143885,143885
144799,144799
3036308,3036308
6371571,6371571
51758,51758
140443,140443
331837,331837
519451,519451
5462744,5462744
13459596,13459596
16212250,16212250
37987,37987
51438,51438
88062,88062
92758,92758
136266,136266
138904,138904
303710,303710
446628,446628
4133797,4133797
5289426,5289426
11263466,11263466
522007,522007
20567,20567
136260,136260
329397,329397
534251,534251
10931411,10931411
137539,137539
52161,52161
5352665,5352665
6110173,6110173
7567603,7567603
10975459,10975459
13417437,13417437
10043,10043
139920,139920
555733,555733
12447898,12447898
136860,136860
5463064,5463064
5367912,5367912
6445110,6445110
5463053,5463053
643770,643770
5352691,5352691
20371837,20371837
519416,519416
140864,140864
535475,535475
595492,595492
12916333,12916333
5324472,5324472
1248527,1248527
6432505,6432505
13278455,13278455
14117409,14117409
18609630,18609630
22327742,22327742
10887827,10887827
10678185,10678185
641612,641612
81083,81083
11789185,11789185
110861,110861
547431,547431
523768,523768
6999993,6999993
23234144,23234144
20475939,20475939
5354577,5354577
12490717,12490717
13357711,13357711
11599,11599
536236,536236
20371837,20371837
6992590,6992590
85702346,85702346
14468798,14468798
12585767,12585767
15264021,15264021
21516147,21516147
91750142,91750142
536236,536236
528712,528712
11701031,11701031
519590,519590
3649141,3649141
11041090,11041090
527581,527581
11030827,11030827
139124,139124
245296,245296
4117363,4117363
15606284,15606284
12205476,12205476
520441,520441
139749,139749
2733421,2733421
137051,137051
10920484,10920484
50918015,50918015
11389380,11389380
16213572,16213572
54048623,54048623
18960304,18960304
2758304,2758304
16213229,16213229
16212933,16212933
12213347,12213347
11019830,11019830
253116,253116
13117012,13117012
137243,137243
185467,185467
15245,15245
159718,159718
64246,64246
156731,156731
93658,93658
20344599,20344599
137286,137286
15606284,15606284
137242,137242
10023,10023
11019830,11019830
15721050,15721050
122981,122981
143172,143172
42952,42952
565982,565982
143356,143356
521495,521495
11717,11717
11412368,11412368
11230705,11230705
74454,74454
74171,74171
21114275,21114275
138772,138772
81048,81048
3034041,3034041
13162057,13162057
11412368,11412368
21114275,21114275
23055690,23055690
1519487,1519487
5461042,5461042
12203051,12203051
124081846,124081846
424449,424449
12278547,12278547
22265630,22265630
17852300,17852300
520441,520441
137242,137242
10023,10023
54048623,54048623
15245,15245
521495,521495
143356,143356
565982,565982
139749,139749
11019830,11019830
64246,64246
185467,185467
535531,535531
10942465,10942465
17787411,17787411
3060541,3060541
118605,118605
98668,98668
231545,231545
641100,641100
6999800,6999800
640990,640990
14325610,14325610
12452734,12452734
12809147,12809147
139176,139176
12651695,12651695
103721,103721
11457670,11457670
73985,73985
13956031,13956031
22274759,22274759
89517,89517
253878,253878
10887879,10887879
11953772,11953772
239819,239819
102752,102752
14499052,14499052
146169,146169
151411,151411
22722792,22722792
11400802,11400802
12359283,12359283
80643,80643
21596552,21596552
12018275,12018275
14765037,14765037
28497,28497
306197,306197
221050,221050
231971,231971
12462547,12462547
78082,78082
74552,74552
13070295,13070295
90727,90727
138332,138332
14074429,14074429
119693,119693
10154017,10154017
94811,94811
16211104,16211104
299004,299004
14325607,14325607
118605,118605
11412368,11412368
17864,17864
643510,643510
75602,75602
13924200,13924200
412910,412910
28497,28497
221050,221050
78082,78082
21188,21188
13070295,13070295
121403,121403
14074429,14074429
16211104,16211104
299004,299004
16211104,16211104
14074429,14074429
14325607,14325607
11412368,11412368
12018275,12018275
138332,138332
80643,80643
306197,306197
231971,231971
221050,221050
536521,536521
89960,89960
11412368,11412368
14325607,14325607
118605,118605
299004,299004
16211104,16211104
12018275,12018275
16217392,16217392
542167,542167
246748,246748
519463,519463
520405,520405
155529,155529
12295187,12295187
20234581,20234581
142259,142259
118605,118605
98668,98668
14076,14076
23061577,23061577
231545,231545
3016998,3016998
235121,235121
84629,84629
544701,544701
66984,66984
103003,103003
16217392,16217392
142259,142259
544701,544701
14076,14076
23061577,23061577
231545,231545
3016998,3016998
139176,139176
12809147,12809147
12452734,12452734
12651695,12651695
103721,103721
14325610,14325610
50918015,50918015
3649141,3649141
11041090,11041090
12264474,12264474
39661,39661
17852300,17852300
17852300,17852300
3649141,3649141
11041090,11041090
73985,73985
22274759,22274759
139629,139629
142072,142072
320782,320782
544898,544898
548266,548266
3799013,3799013
6950523,6950523
11970569,11970569
53422469,53422469
90802,90802
638057,638057
10964414,10964414
12695786,12695786
14292221,14292221
61553086,61553086
522490,522490
11446563,11446563
12695786,12695786
16876,16876
68966,68966
123150,123150
135961,135961
138635,138635
526908,526908
12388012,12388012
13202589,13202589
13410810,13410810
16685262,16685262
9666,9666
136580,136580
136667,136667
169191,169191
522479,522479
545725,545725
12198348,12198348
12205426,12205426
13399521,13399521
19871501,19871501
69112501,69112501
82554,82554
137427,137427
11378473,11378473
88320434,88320434
114789,114789
142318,142318
173965,173965
198422,198422
518733,518733
13608208,13608208
37545,37545
67986,67986
534258,534258
4339626,4339626
10094875,10094875
11084032,11084032
11788384,11788384
12544003,12544003
12545907,12545907
19031167,19031167
89209,89209
124777,124777
244139,244139
265465,265465
522391,522391
11434908,11434908
11593431,11593431
12494225,12494225
12839819,12839819
12999325,12999325
16217400,16217400
28750,28750
138762,138762
2785244,2785244
11182829,11182829
11355449,11355449
12443366,12443366
12642406,12642406
22065,22065
154875,154875
533963,533963
554424,554424
3041170,3041170
3043701,3043701
10419213,10419213
71309225,71309225
85987475,85987475
23169,23169
27126,27126
80156,80156
185794,185794
13592249,13592249
18411593,18411593
24873,24873
137655,137655
141472,141472
2733171,2733171
9543006,9543006
16212689,16212689
11200,11200
25030,25030
77766,77766
130115,130115
136271,136271
143777,143777
6994099,6994099
10192575,10192575
12238841,12238841
12598453,12598453
13351704,13351704
15928,15928
70458,70458
160585,160585
517955,517955
536115,536115
12591919,12591919
13795010,13795010
37521,37521
108509,108509
142350,142350
182429,182429
214693,214693
4526530,4526530
5326208,5326208
12519722,12519722
12868124,12868124
53255492,53255492
53308482,53308482
53960729,53960729
127889,127889
136336,136336
138771,138771
141276,141276
266330,266330
415736,415736
11062295,11062295
75397,75397
100232,100232
101853,101853
145727,145727
220061,220061
6393046,6393046
13551187,13551187
18377217,18377217
20335,20335
26607,26607
138836,138836
192806,192806
519476,519476
5362882,5362882
11040763,11040763
11344401,11344401
12201670,12201670
15109863,15109863
16212467,16212467
23717929,23717929
18595,18595
70608,70608
92975,92975
139012,139012
521081,521081
4347855,4347855
12207122,12207122
44153272,44153272
139572,139572
3034172,3034172
6436531,6436531
12306170,12306170
16213398,16213398
16213514,16213514
18364514,18364514
25504,25504
93174,93174
130114,130114
138633,138633
138749,138749
141084,141084
161792,161792
167094,167094
202285,202285
6999829,6999829
12205413,12205413
9761,9761
140534,140534
207362,207362
261273,261273
303692,303692
6441134,6441134
10866748,10866748
11126193,11126193
15179916,15179916
16212326,16212326
18672803,18672803
62317,62317
3490527,3490527
12218980,12218980
12545904,12545904
12555717,12555717
13662072,13662072
15920061,15920061
12692,12692
31933,31933
67776,67776
95733,95733
138918,138918
141115,141115
231273,231273
243553,243553
414658,414658
6450296,6450296
13225458,13225458
138118,138118
520120,520120
22631853,22631853
41341,41341
136587,136587
139366,139366
521122,521122
560639,560639
5378690,5378690
12227859,12227859
13778902,13778902
13848706,13848706
14243801,14243801
15648868,15648868
71310291,71310291
29825,29825
33163,33163
84729,84729
136480,136480
140437,140437
153366,153366
164927,164927
168453,168453
543791,543791
604026,604026
3451969,3451969
4346364,4346364
6433386,6433386
6438055,6438055
10932511,10932511
10954145,10954145
12201032,12201032
12280563,12280563
12717520,12717520
13391221,13391221
16213352,16213352
21259525,21259525
53749742,53749742
53145,53145
118747,118747
138595,138595
141461,141461
474214,474214
3035689,3035689
3563366,3563366
67891,67891
137111,137111
523771,523771
523766,523766
6427834,6427834
93053,93053
107196,107196
141449,141449
173840,173840
644096,644096
4713209,4713209
24427,24427
521169,521169
138815,138815
146722,146722
16508,16508
474193,474193
554455,554455
12201038,12201038
12302090,12302090
14818260,14818260
15921793,15921793
20234353,20234353
252360,252360
10154002,10154002
12216724,12216724
18967886,18967886
79109,79109
521329,521329
6932080,6932080
11851334,11851334
12198210,12198210
44309478,44309478
54441300,54441300
47475,47475
104113,104113
9543055,9543055
10464296,10464296
10486941,10486941
23068,23068
135081,135081
137952,137952
253154,253154
522287,522287
579992,579992
637146,637146
5364230,5364230
6432551,6432551
33035,33035
418029,418029
3703445,3703445
12324394,12324394
19348483,19348483
139963,139963
214453,214453
444229,444229
9576980,9576980
12567238,12567238
519161,519161
638046,638046
12477205,12477205
12571890,12571890
545578,545578
12592183,12592183
12637085,12637085
11829371,11829371
23233664,23233664
6989207,6989207
7568485,7568485
12545916,12545916
12475337,12475337
22810194,22810194
5463474,5463474
6438052,6438052
6385313,6385313
6433519,6433519
81329,81329
142209,142209
140412,140412
16770553,16770553
148538,148538
643596,643596
